fidelity, blocks
0.30246975566951884, 1
0.33085716026028755, 1
0.3024697556695186, 1
0.33085716026028744, 1
0.30246975566951806, 1
0.3308571602602872, 1
0.4128365519047138, 1
0.4011098802622216, 1
0.3024697556695185, 1
0.3686139866194146, 1
0.3024697556695185, 1
0.36861398661941436, 1
0.33085716026028755, 1
0.3024697556695185, 1
0.3308571602602878, 1
0.3024697556695183, 1
0.3024697556695183, 1
0.41045911663923473, 1
0.3024697556695185, 1
0.33085716026028755, 1
0.10043314638267109, 2
0.11646802781045507, 2
0.19643816969829198, 2
0.14864749863428028, 2
0.14864749863428062, 2
0.11646802781045529, 2
0.1486474986342805, 2
0.11951012662125315, 2
0.11646802781045507, 2
0.11646802781045507, 2
0.11646802781045573, 2
0.1586426798170133, 2
0.3034514223902376, 2
0.10043314638267131, 2
0.20371410795946476, 2
0.23390904670934953, 2
0.3034514223902376, 2
0.2704391172762084, 2
0.14864749863428062, 2
0.1586426798170133, 2
0.13783485072698642, 3
0.0021998713531758973, 3
0.04757719431916241, 3
0.05089280393564655, 3
0.002199871353174121, 3
0.07156725321145496, 3
0.1243047295752524, 3
0.11411975080695658, 3
0.03138335548615567, 3
0.0012630368836359374, 3
0.11791043736747941, 3
0.06450592604005567, 3
0.050892803935647435, 3
0.05089280393564788, 3
0.03138335548615567, 3
0.14640679309512872, 3
0.12654832863462617, 3
0.03138335548615612, 3
0.03138335548615523, 3
0.03138335548615634, 3
0.03828698097806105, 4
0.004231509290148261, 4
0.04575505212776254, 4
0.00011180327637583254, 4
0.012373256617128736, 4
0.0001117953740001898, 4
0.023680589369316052, 4
0.027740644933665792, 4
0.03475364643502332, 4
0.054845840568559345, 4
0.0002294584987033721, 4
0.00016344649035826553, 4
7.689437071234373e-5, 4
0.051378139734174044, 4
6.832296359227108e-6, 4
0.007038256309778945, 4
0.06342007584829823, 4
0.03962540031903461, 4
0.06560647114154905, 4
0.040293151325345944, 4
