fidelity, blocks
0.004112795011378512, 1
0.006063784648764781, 1
0.004711940997523034, 1
0.004255194220311176, 1
0.0041127950113774014, 1
0.004255194220311398, 1
0.0041127950113778455, 1
0.00425519422031162, 1
0.00425519422031162, 1
0.0041127950113774014, 1
0.004112795011377179, 1
0.004255194220311398, 1
0.004255194220311176, 1
0.002963413980966334, 1
0.004112795011377179, 1
0.004255194220311398, 1
0.004711940997522146, 1
0.004255194220311842, 1
0.004255194220310732, 1
0.00425519422031162, 1
9.903777584452378e-5, 2
0.002451612653526558, 2
0.002297017991036543, 2
0.0013712452090930416, 2
9.903777584452378e-5, 2
0.0027330529962263928, 2
0.0013712452090930416, 2
0.0031487579705505864, 2
0.0015216725219928673, 2
0.0021095159405456476, 2
9.903777584474582e-5, 2
0.0015594528845924716, 2
9.903777584407969e-5, 2
0.0021095159405463138, 2
0.0026461188533168922, 2
0.001015644817635275, 2
9.903777584452378e-5, 2
0.0009569902775996564, 2
0.001053386234096343, 2
9.903777584385764e-5, 2
