fidelity,blocks
0.34886173575514257, 1
0.5555555555555529, 1
0.3488617357551431, 1
0.19669217642913206, 1
0.12948911326245993, 1
0.3488617357551431, 1
0.2779323441056919, 1
0.19669217642913217, 1
0.27793234410569245, 1
0.29780531874341054, 1
0.5555555555555559, 1
0.10664835561662211, 1
0.19669217642913206, 1
0.27793234410569223, 1
0.30454917930605485, 1
0.5487949826971843, 1
0.5487949826971842, 1
0.3488617357551428, 1
0.38922326824053644, 1
0.19669217642913184, 1
0.12845619362344307, 2
0.4278459245110636, 2
0.11766837704629562, 2
0.11766837704629629, 2
0.11766837704629585, 2
0.2779323441056919, 2
0.1961618366637825, 2
0.3488617357551438, 2
0.19669217642913162, 2
0.19616183666378284, 2
0.12845619362344307, 2
0.12845619362344352, 2
0.19669217642913184, 2
0.12845619362344252, 2
0.5555555555555555, 2
0.12845619362344274, 2
0.1176683770462954, 2
0.11766837704629518, 2
0.2539963456111717, 2
0.19669217642913217, 2
0.05432642664911991, 3
0.0015252046129029528, 3
0.004720300733985883, 3
0.062021383004864705, 3
0.004198650863469489, 3
0.024923696113450022, 3
0.021339318529302598, 3
0.04285474261655431, 3
0.19669217642913184, 3
0.0016690132649539446, 3
0.03078652883648303, 3
0.00024271372181228212, 3
0.00027554542639596225, 3
0.003512324494511332, 3
0.044997254361292094, 3
0.0766050264987701, 3
0.0009187998548554344, 3
0.001888284680763297, 3
0.005615649382117116, 3
0.03485464817531847, 3
0.05432642664911991, 4
0.0015252046129029528, 4
0.004720300733985883, 4
0.062021383004864705, 4
0.004198650863469489, 4
0.024923696113450022, 4
0.021339318529302598, 4
0.04285474261655431, 4
0.19669217642913184, 4
0.0016690132649539446, 4
0.03078652883648303, 4
0.00024271372181228212, 4
0.00027554542639596225, 4
0.003512324494511332, 4
0.044997254361292094, 4
0.0766050264987701, 4
0.0009187998548554344, 4
0.001888284680763297, 4
0.005615649382117116, 4
0.03485464817531847, 4
2.554826288914125e-5, 5 
0.00330972604307167, 5 
4.505113181285658e-6, 5 
0.0041449056692258734, 5 
0.005329377795836532, 5 
0.0061064196552250705, 5 
0.00020937614370120095, 5 
6.434859972370699e-5, 5 
0.002585861195892103, 5 
0.006451999162043975, 5 
0.004609309265862338, 5 
3.728645357803373e-5, 5 
9.08848578717869e-6, 5 
8.971068308738506e-5, 5 
0.016439090252213906, 5 
1.66304662060357e-5, 5 
0.001430997710579307, 5 
8.795419113671876e-5, 5 
0.00012322409494791575, 5 
0.00118983588578125, 5
