fidelity, N_blocks
0.4701025100620805, 1
0.4701025100620805, 1
0.47010251006208015, 1
0.5781024235554277, 1
0.4323128896102413, 1
0.578102423555428, 1
0.38007851023971184, 1
0.578102423555428, 1
0.4701025100620805, 1
0.38007851023971184, 1
0.47010251006208026, 1
0.750624326332471, 1
0.3800785102397113, 1
0.6035833137711305, 1
0.578102423555428, 1
0.3800785102397115, 1
0.5721420823950113, 1
0.47010251006208026, 1
0.4701025100620805, 1
0.6035833137711306, 1
0.3800785102397115, 2
0.36942740934838425, 2
0.3367704469440084, 2
0.3702663162283405, 2
0.38007851023971184, 2
0.3592828831719612, 2
0.3544167895850464, 2
0.3088318480278147, 2
0.4378333117813621, 2
0.2976093787781555, 2
0.3592828831719619, 2
0.29760937877815496, 2
0.29760937877815563, 2
0.21773838170649695, 2
0.3493480759227242, 2
0.3698966446386419, 2
0.9822607002841308, 2
0.3702663162283404, 2
0.3800785102397115, 2
0.3367704469440084, 2
0.3800785102397113, 3
0.11451579899414133, 3
0.02324899745159492, 3
0.07640051776188639, 3
0.22599012122228734, 3
0.21054745539256814, 3
0.16526942480164253, 3
0.17419610294455445, 3
0.0383180939231309, 3
0.038318093923130014, 3
0.21054745539256714, 3
0.038318093923131125, 3
0.17474678966687773, 3
0.023248997451594144, 3
0.19060616990080403, 3
0.021388578446275175, 3
0.04439539776076484, 3
0.023248997451594366, 3
0.1541316447073362, 3
0.17066055510549138, 3
0.04339184397380247, 4
0.13046275217494807, 4
0.01687309868708997, 4
0.02733086698536047, 4
0.003019793921990921, 4
0.023380209268471064, 4
0.0632639763475833, 4
0.08105014043669279, 4
0.11400018469167039, 4
0.0679378814480378, 4
0.0017689760419746792, 4
0.019896881481019868, 4
0.0018635514260467723, 4
0.0042068059827564674, 4
0.06578222030076397, 4
0.0028857298748120597, 4
0.007825713368172615, 4
0.002299574740559196, 4
0.003019793921990921, 4
0.0023690828119408147, 4
0.0005038674628314865, 5
0.0003982298715586863, 5
1.399567282167613e-5, 5
0.0056872495883167895, 5
0.00016548338326227707, 5
0.0038652774912458776, 5
0.01901484871025061, 5
0.003081145696842258, 5
0.011400300754259685, 5
0.0007016607136601793, 5
0.0006635179366507593, 5
0.0015589026383935334, 5
0.003769898037443431, 5
0.0013295410103205674, 5
0.021943863718589807, 5
0.0023210639593332916, 5
0.000846375467308591, 5
0.011477766466415296, 5
0.00034757887130199006, 5
8.340516631089034e-5, 5
