fidelity,blocks,coefficients
0.00021228984574384047,1,"[6.174154293497105, -2.1339313910958477, -2.148026761821379, 16.323334519127435, -2.323429958447964, -27.70112867845882, 16.719796542464042]"
2.0005295251479538e-5,1,"[-5.833338826725174, 2.768655884412517, -3.571468546321859, 3.177707365570704, -3.507989444318446, 2.9397747905201856, -3.3458663659855237]"
7.079145920863006e-5,1,"[-0.3855233398876355, -3.721557793694829, -3.7452987822081356, 2.478232254787028, -3.4317383606571985, 2.827030998743173, 2.5686497800237422]"
9.98639737426199e-5,1,"[-0.750184938327116, -1.6769666496431501, -1.7356794357674925, -1.913877996415977, -1.655643449481794, 4.489378577020451, -1.5663839797906223]"
0.0003223069451414595,1,"[-0.21760088422760754, -4.011714673958128, 1.4026007017586586, 2.244898733292976, 2.744041381421014, 2.3394555068003777, 2.265152447695922]"
2.6760630156275056e-8,2,"[-0.13618474249950835, -0.2750883543991588, 1.2402094321768826, 0.8765192995091837, 1.1423820289845086, -3.949055794047593, 1.4659327651047263, 1.4455087907171025, 2.8059721604857537, -3.5403967900435407, 3.008659685509849, 2.4737387515289337, 2.6328875362541946, -3.6386159854867217]"
0.0,2,"[0.8337197075213387, -0.22451228475248936, -0.6460989820544567, -0.6329663490382438, -0.8034837295148889, -1.0178120358717593, -1.994377919947764, -0.699930932994093, -0.2875981057570784, 2.4855979407118296, -0.9337117680921313, -0.5627839636157161, -0.793168913838394, -0.7370853753184374]"
-8.881784197001252e-16,2,"[-1.8249414078262511, -0.22172180996569044, 0.8681942371861795, 0.8940156910532996, 0.9342194236084542, 1.6685644130965727, 1.5634543765815345, 0.5519068126404796, -2.6729970078091596, 2.5415921960629815, -2.246847224703335, 3.8274094304298827, -2.3915308108051345, -2.1621689208621047]"
0.0,2,"[-0.8061607827499255, 0.31480359304929484, 1.4469745722909255, -4.947373364791817, 0.6997307127468472, 1.4494217688117066, 1.206416749394167, 1.7456278438881558, 1.0671708057844012, 1.0060708126801514, 0.9526493745016802, 0.9654543618117746, 1.2292338492049848, 1.173543633081031]"
0.0,2,"[0.33702167181622417, -0.8789853808636796, -0.9163568147334689, -0.8718998930950136, -0.7896591769233392, 5.610473766007391, -1.160474955439446, -0.9378984165981246, -0.7449329246731705, -0.7329878832350665, 0.5919619339923019, -0.7683771081816664, -0.8268708355712409, -0.9812148049398083]"
-8.881784197001252e-16,3,"[0.7554724133155118, -0.01389709591641458, 0.04009697190938617, -1.0594537850728534, -0.8756290409640443, -0.8408002879335326, -2.181733345587877, -2.8442720727481543, -0.9308086051945557, 2.776239870060896, -1.1822795439840652, 3.0073616233482445, -2.320621419278413, 2.3230557894610047, 1.1810067177254138, 2.805919412749828, 1.4663195207856263, 2.4625566888656705, 1.673832162932909, 3.2949204676689523, -1.0711054820779562]"
-4.440892098500626e-16,3,"[0.2898099760311031, 0.4155267621720095, -0.952425931523372, -0.5689324191376227, 0.5440361306935743, -2.265379791018822, -3.628887399241174, 0.9429572644451464, -2.524958996911536, -0.03180125683967737, -0.03225145262033216, 1.53081057486373, -2.6039874054884438, 0.0547743144078759, -2.149433231023515, 3.0378467238824975, 0.8791389792901287, 1.3106207432339834, 1.2639737307687477, 2.949283311337301, -3.1758247696721775]"
-2.220446049250313e-15,3,"[1.3292214697023448, -0.3279315268474727, -0.45221981405104145, 1.857879573902077, 1.9227951425331136, 0.12890514416006857, 1.9268224096459945, 1.6735952433761256, 2.6556666363691033, -0.443748137836155, 2.455766966954607, -0.9913654027872401, -5.811465733469914, -2.8339828997854726, 3.719211099847569, -0.8220418614360939, 1.5686117364959988, 0.6475924232752613, -0.23577203623733403, -1.9548220001875432, 2.2869539530829743]"
1.7763568394002505e-15,3,"[-0.34363360701128354, -0.32964504939037814, -0.33633615270978684, -3.202797340861062, -1.5401651990855374, 3.1549021613027692, 3.1242109368222115, -2.1187904924760974, -1.729774842473846, -1.4444982308552585, -1.0870346284572743, -1.5341964402944144, 1.6824999298196144, -1.9609315397739655, -1.969501067775298, 1.8554907872268442, 6.031987260639735, 1.7849688123672822, -1.002405693169839, 1.3990885304279792, 0.8874789434158649]"
-8.881784197001252e-16,3,"[0.3777754598882645, 0.882571141346887, -1.1210102733476828, 2.849771297419425, -0.394413017213265, 3.6046777661608282, -0.8951784464000943, 0.7096221666987979, -1.070704820558018, 0.6772172227431498, -2.2807028876108255, 3.2347445002241564, -1.3439899312098427, 1.5590405006694756, -1.412400338411486, -2.3714551170915668, 3.385922116317836, 0.07080378416511145, -1.0757737313183935, 3.075374659485952, 1.8880190018417389]"
4.440892098500626e-16,4,"[0.2522375344510087, 0.36414392811093904, -2.399889889010788, -0.7568044477226633, -1.15503588526999, 0.24257302716022996, 1.6719152502480408, 0.9085831182038699, 0.16926703189879494, 0.9991426809999279, -2.9060827309228614, 2.372212062765412, 1.1075335496767431, 2.989997795770188, 2.6193727163493823, -1.7621003350340452, -0.292209602356267, -0.8513204472577495, -2.528179343931152, 3.5502151875563737, -0.30153778644625584, 1.2212058126225604, 0.7365074628809933, 0.24666924306143476, 0.8056879168729134, -0.7156009212344924, -0.032400832662280075, -0.039696702914686875]"
1.1102230246251565e-15,4,"[-0.8325912594226782, -1.0825541653419037, -0.8256044767163865, 1.0672430077644606, -1.0968585178461816, 2.6478549324484586, 0.05933187985214655, -0.9123423619803863, -0.6636986289811307, -0.8933632101014246, 2.279801280412471, -3.0789102943571423, 2.420658881502168, 3.3822594591137984, -2.4366232811021424, -3.0549600089881106, -0.3135333793772387, 1.623417072141016, 1.2306343730531202, -0.9760305810326858, 0.1648657672349944, -1.1651917629461281, -2.5031638677681274, -2.8715099993737274, 1.4974409289000625, -0.15067421074829804, 1.0396895315051258, -2.819325267602237]"
-4.440892098500626e-16,4,"[0.31148739261634645, 0.3092046416715044, 0.3096045077182471, 0.29694803045692714, 0.0634963622738321, 1.5085388441182948, -0.7645034495838271, 0.8911277431409261, -1.1536423048434585, -2.6788136629574484, -1.2947727546611338, 0.2548166183620978, -0.9305148911163968, -0.47561081989525583, 0.7499386211192474, 2.2456778304806777, 1.5738575853605936, -1.4570319639076115, 2.0003568669994998, 1.0302969234462447, 1.6487206641257268, 0.5678729341333837, -1.5673976565567926, -1.5054454843005145, -1.4340618629318176, -2.5116486503855864, 3.723528768099638, 2.272294315757041]"
2.220446049250313e-16,4,"[-0.9053030040941292, -1.0300007608555435, 0.9911425270668742, -0.9206607102526521, -0.3480139315018232, 1.2957955042763536, -1.191049256783936, 1.3096553795016954, 0.5231557512306115, 2.3558259212370483, 1.5670125781159878, 2.77563491336689, 1.85749008412215, -1.8911308919639136, -0.8933866712576518, -2.5847838799255465, 0.6842442174844171, 0.1081603572057569, 2.3867950791758727, -3.244124321307482, -1.2532226412265643, 2.417651388416272, -0.108037938681974, -3.3264695107990017, -0.0683121327388667, 1.045996250062652, -1.934415755584719, 1.8600573421943827]"
-2.0872192862952943e-14,4,"[6.001036969194566, -36.76343551030777, 13.572838102717188, 18.915334645112605, 0.7084393658789233, -4.149699928741256, -4.468782240512096, -3.6774973425966784, 2.8347494417067165, 1.4857926848875613, 2.1269951699580427, 0.4340532006898086, -6.551038456903352, -1.7837815583305388, 5.244609492214616, 2.0413150304855194, -1.765524298784926, 1.7105923030177967, -1.6688591984617258, -1.0778308300589312, -2.0061031768191886, 4.874255151796407, -0.1458460500580026, 0.8722977631362295, -4.04766037666616, 5.21157994666142, 0.156615733842416, 1.5718505795330888]"
